,waist,hips,bra size,bust,height,size,body-shape,Dress-Style
0,29.0,38.0,34.0,36,5.06,7,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
1,30.0,40.0,36.0,36,5.07,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
2,27.0,38.0,32.0,34,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
3,27.0,34.0,34.0,38,4.11,8,Triangle,"ruffled tops or  deep-V, scoop or boat neck dresses Wide-legged pants "
4,33.0,36.0,38.0,38,5.03,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
5,49.0,51.0,42.0,51,5.06,32,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
6,31.0,41.0,34.0,36,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
7,26.0,34.0,32.0,32,5.09,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
8,37.0,46.0,36.0,43,5.07,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
9,32.0,43.0,38.0,39,5.06,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
10,29.0,38.0,34.0,36,5.04,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
11,28.0,38.0,32.0,34,5.02,5,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
12,36.0,45.0,38.0,42,5.07,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
13,30.0,36.0,34.0,39,5.0,8,,
14,29.0,38.0,34.0,37,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
15,34.0,42.0,36.0,42,5.08,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
16,27.0,39.0,38.0,37,5.08,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
17,28.0,34.0,32.0,32,5.0,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
18,26.0,31.0,32.0,32,5.04,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
19,38.0,37.0,34.0,37,5.01,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
20,30.0,42.0,30.0,36,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
21,28.0,36.0,36.0,36,5.04,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
22,27.0,38.0,34.0,34,5.09,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
23,29.0,41.0,32.0,34,5.1,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
24,29.0,39.0,34.0,34,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
25,28.0,34.0,34.0,33,5.06,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
26,34.0,46.0,38.0,43,5.07,18,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
27,24.0,30.0,32.0,32,5.02,3,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
28,28.0,37.0,32.0,34,5.03,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
29,26.0,32.0,30.0,33,5.02,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
30,28.0,30.0,34.0,36,5.5,12,Triangle,"ruffled tops or  deep-V, scoop or boat neck dresses Wide-legged pants "
31,33.0,42.0,34.0,38,5.07,12,,
32,38.0,47.0,38.0,46,5.07,26,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
33,28.0,37.0,36.0,35,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
34,32.0,48.0,36.0,39,5.02,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
35,29.0,41.0,32.0,34,5.1,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
36,32.0,39.0,36.0,36,5.03,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
37,31.0,42.0,36.0,38,5.11,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
38,34.0,42.0,38.0,42,5.02,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
39,27.0,37.0,34.0,34,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
40,29.0,38.0,34.0,36,5.08,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
41,30.0,41.0,34.0,36,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
42,37.0,44.0,38.0,42,5.02,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
43,26.0,38.0,32.0,34,5.1,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
44,32.0,48.0,36.0,39,5.02,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
45,28.0,38.0,34.0,36,5.07,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
46,37.0,46.0,36.0,42,5.07,18,,
47,28.0,36.0,34.0,34,5.02,7,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
48,31.0,42.0,32.0,37,5.11,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
49,36.0,49.0,36.0,46,5.5,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
50,25.0,36.0,32.0,32,5.5,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
51,22.0,33.0,28.0,32,5.02,1,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
52,30.0,39.0,36.0,36,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
53,27.0,37.0,34.0,34,5.02,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
54,35.0,46.0,38.0,40,5.5,18,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
55,31.0,41.0,36.0,38,5.04,13,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
56,42.0,47.0,38.0,46,5.04,33,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
57,34.0,40.0,38.0,38,5.5,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
58,32.0,42.0,36.0,41,5.07,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
59,28.0,34.0,32.0,34,5.02,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
